Primary_school,Funding,Type,Area,LATITUDE,LONGITUDE
Admiralty Primary School,Government,Mixed,Woodlands,1.44254963931583,103.800213682734
Ahmad Ibrahim Primary School,Government,Mixed,Yishun,1.43315271543517,103.832942401086
Ai Tong School,"Government-aided, SAP",Mixed,Bishan,1.3605834338904,103.833020333986
Alexandra Primary School,Government,Mixed,Bukit Merah,1.29133439161334,103.824424680531
Anchor Green Primary School,Government,Mixed,Sengkang,1.39036998654612,103.887165375933
Anderson Primary School,Government,Mixed,Ang Mo Kio,1.38426429436736,103.841392081119
Anglo-Chinese School (Junior),Government-aided,Boys,Central,1.30932252730174,103.841552127373
Anglo-Chinese School (Primary),Government-aided,Boys,Bukit Timah,1.31837054523521,103.835609732354
Angsana Primary School,Government,Mixed,Tampines,1.34855287558648,103.951808105552
Ang Mo Kio Primary School,Government,Mixed,Ang Mo Kio,1.36932176584608,103.839630858752
Beacon Primary School,Government,Mixed,Bukit Panjang,1.38394936211823,103.773632022975
Bedok Green Primary School,Government,Mixed,Bedok,1.32344593287992,103.937878976352
Bendemeer Primary School,Government,Mixed,Kallang,1.32220848530291,103.865351336085
Blangah Rise Primary School,Government,Mixed,Bukit Merah,1.27614522920998,103.80861316604
Boon Lay Garden Primary School,Government,Mixed,Jurong West,1.34284013791617,103.712858381937
Bukit Panjang Primary School,Government,Mixed,Bukit Panjang,1.37362179302436,103.769374904025
Bukit Timah Primary School,Government,Mixed,Bukit Timah,1.3377498622588,103.766855344779
Bukit View Primary School,Government,Mixed,Bukit Batok,1.34586054788695,103.75366641455
Canberra Primary School,Government,Mixed,Sembawang,1.45125024371543,103.815858858929
Canossa Catholic Primary School,Government-aided,Mixed,Geylang,1.32664424544839,103.882227964852
Cantonment Primary School,Government,Mixed,Bukit Merah,1.27547252623201,103.839962631748
Casuarina Primary School,Government,Mixed,Pasir Ris,1.37246063927999,103.957020286115
Catholic High School (Primary),"Government-aided, SAP",Boys,Bishan,1.35438878373608,103.844210670766
Cedar Primary School,Government,Mixed,Toa Payoh,1.3355885014312,103.87562104944
Changkat Primary School,Government,Mixed,Tampines,1.33997334692002,103.952273949753
CHIJ (Katong) Primary,Government-aided,Girls,Katong,1.30648535277087,103.911105620496
CHIJ (Kellock),Government-aided,Girls,Bukit Merah,1.275022722964,103.828157564896
CHIJ Our Lady of Good Counsel,Government-aided,Girls,Serangoon,1.35742952269615,103.864009397373
CHIJ Our Lady of the Nativity,Government-aided,Girls,Hougang,1.37357409699145,103.897768958127
CHIJ Our Lady Queen of Peace,Government-aided,Girls,Bukit Panjang,1.366603668561,103.767412204602
CHIJ Primary (Toa Payoh),Government-aided,Girls,Toa Payoh,1.33275263726147,103.841847268953
CHIJ St. Nicholas Girls' School,"Government-aided, SAP",Girls,Ang Mo Kio,1.37347687878916,103.834253269436
Chongfu School,Government-aided,Mixed,Yishun,1.43846230429529,103.839070714229
Chongzheng Primary School,Government,Mixed,Tampines,1.35061130568554,103.951317297552
Chua Chu Kang Primary School,Government,Mixed,Chua Chu Kang,1.37775890093367,103.741832917421
Clementi Primary School,Government,Mixed,Clementi,1.31506321827875,103.763144493687
Compassvale Primary School,Government,Mixed,Sengkang,1.39444529636566,103.897812229905
Concord Primary School,Government,Mixed,Chua Chu Kang,1.38000806197242,103.736225440727
Corporation Primary School,Government,Mixed,Jurong West,1.35099779872539,103.707593724342
Damai Primary School,Government,Mixed,Bedok,1.33546106800406,103.921270169613
Dazhong Primary School,Government,Mixed,Bukit Batok,1.3591797447277,103.74847210784
De La Salle School,Government-aided,Mixed,Chua Chu Kang,1.3947078296399,103.743201812831
East Spring Primary School,Government,Mixed,Tampines,1.35268400746357,103.961676849165
Edgefield Primary School,Government,Mixed,Punggol,1.40009139510996,103.907847599114
Elias Park Primary School,Government,Mixed,Pasir Ris,1.37451269377776,103.945128117139
Endeavour Primary School,Government,Mixed,Sembawang,1.45403837499301,103.817436231731
Eunos Primary School,Government,Mixed,Bedok,1.32447629876368,103.904541254016
Evergreen Primary School,Government,Mixed,Woodlands,1.44415332824735,103.794577787757
Fairfield Methodist School (Primary),Government-aided,Mixed,Dover,1.30100441916733,103.785455606827
Farrer Park Primary School,Government,Mixed,Kallang,1.31236867681371,103.850766402965
Fengshan Primary School,Government,Mixed,Bedok,1.32980598760785,103.931710293058
Fernvale Primary School,Government,Mixed,Sengkang,1.39030227963797,103.874445458032
First Toa Payoh Primary School,Government,Mixed,Toa Payoh,1.34032299499938,103.855529906182
Frontier Primary School,Government,Mixed,Jurong West,1.33641298743234,103.69970173931
Fuchun Primary School,Government,Mixed,Woodlands,1.43047990810126,103.778192944298
Fuhua Primary School,Government,Mixed,Jurong East,1.33650394789627,103.736103745748
Gan Eng Seng Primary School,Government,Mixed,Bukit Merah,1.28559516494962,103.815547410064
Geylang Methodist School (Primary),Government-aided,Mixed,Geylang,1.31759126757284,103.883845744916
Gongshang Primary School,Government,Mixed,Tampines,1.35723721393297,103.949115320172
Greendale Primary School,Government,Mixed,Punggol,1.39648195114256,103.91233462071
Greenridge Primary School,Government,Mixed,Bukit Panjang,1.3858892193692,103.767794469258
Greenwood Primary School,Government,Mixed,Woodlands,1.4401104867196,103.804515180606
Guangyang Primary School,Government,Mixed,Bishan,1.34569011530238,103.849453239895
Haig Girls' School,Government,Girls,Geylang,1.31194344271383,103.902902557195
Holy Innocents' Primary School,"Government-aided, SAP",Mixed,Hougang,1.36693830877349,103.894114899795
Henry Park Primary School,Government-aided,Mixed,Bukit Timah,1.31667646178347,103.784296227747
Hong Wen School,"Government-aided, SAP",Mixed,Kallang,1.32175999964553,103.857628468881
Horizon Primary School,Government,Mixed,Punggol,1.399550034492,103.913404855665
Hougang Primary School,Government,Mixed,Hougang,1.37738245231461,103.880805274557
Huamin Primary School,Government,Mixed,Yishun,1.42695886300879,103.844209671353
Innova Primary School,Government,Mixed,Woodlands,1.42896700684852,103.790607539185
Jiemin Primary School,Government,Mixed,Yishun,1.42768847665227,103.830425490093
Junyuan Primary School,Government,Mixed,Tampines,1.34787074766746,103.939221709073
Jurong Primary School,Government,Mixed,Jurong East,1.33917519796104,103.698803732244
Jurong West Primary School,Government,Mixed,Jurong West,1.33917519796104,103.698803732244
Keming Primary School,Government,Mixed,Bukit Batok,1.34506349843091,103.75592322797
Kheng Cheng School,Government-aided,Mixed,Toa Payoh,1.33728818369962,103.847141122849
Kong Hwa School,"Government-aided, SAP",Mixed,Geylang,1.31099674009193,103.888352029067
Kranji Primary School,Government,Mixed,Chua Chu Kang,1.39356050497104,103.747362720939
Kuo Chuan Presbyterian Primary School,Government-aided,Mixed,Bishan,1.34939813669536,103.855018233311
Lakeside Primary School,Government,Mixed,Jurong West,1.33820397704287,103.718089546664
Lianhua Primary School,Government,Mixed,Bukit Batok,1.35424191127295,103.754165828711
Maha Bodhi School,"Government-aided, SAP",Mixed,Geylang,1.32847086658384,103.901298737314
Maris Stella High School,"Government-aided, SAP",Boys,Toa Payoh,1.34139473351039,103.877852484979
Marsiling Primary School,Government,Mixed,Woodlands,1.43383904037059,103.773643013846
Marymount Convent School,Government-aided,Girls,Toa Payoh,1.34036676987375,103.840021064426
Mayflower Primary School,Government,Mixed,Ang Mo Kio,1.37614621670476,103.835805246743
Mee Toh School,Government-aided,Mixed,Punggol,1.3946184538592,103.908589494228
Meridian Primary School,Government,Mixed,Pasir Ris,1.37552831658484,103.934889078518
Methodist Girls' School (Primary),Government-aided,Girls,Bukit Timah,1.34947276268396,103.884971343143
Montfort Junior School,Government-aided,Boys,Hougang,1.37382444075979,103.889307782925
Nan Chiau Primary School,Government-aided,Mixed,Sengkang,1.39221149906592,103.891180928186
Nan Hua Primary School,"Government-aided, SAP",Mixed,Clementi,1.31920159956387,103.761095065761
Nanyang Primary School,"Government-aided, SAP",Mixed,Bukit Timah,1.32084749904532,103.807750155296
Ngee Ann Primary School,Government-aided,Mixed,Marine Parade,1.30552505910497,103.917463017497
Naval Base Primary School,Government,Mixed,Yishun,1.41630663159387,103.838794077233
New Town Primary School,Government,Mixed,Queenstown,1.29964188181021,103.80010216304
Northland Primary School,Government,Mixed,Yishun,1.42096989918951,103.840928424929
Northoaks Primary School,Government,Mixed,Sembawang,1.45662379586093,103.813688476692
North Spring Primary School,Government,Mixed,Sengkang,1.38706146494859,103.903202683028
North View Primary School,Government,Mixed,Yishun,1.42752326549687,103.848254983853
North Vista Primary School,Government,Mixed,Sengkang,1.38282243016299,103.895961877928
Oasis Primary School,Government,Mixed,Punggol,1.4044595121197,103.910896590133
Opera Estate Primary School,Government,Mixed,Bedok,1.31996876377748,103.923752668632
Palm View Primary School,Government,Mixed,Sengkang,1.38376923022123,103.891354675017
Park View Primary School,Government,Mixed,Pasir Ris,1.37738069854249,103.939541695654
Pasir Ris Primary School,Government,Mixed,Pasir Ris,1.37241870245531,103.962807212116
Paya Lebar Methodist Girls' School (Primary),Government-aided,Girls,Hougang,1.34947276268396,103.884971343143
Pei Chun Public School,"Government-aided, SAP",Mixed,Toa Payoh,1.33677864390672,103.855341310212
Pei Hwa Presbyterian Primary School,"Government-aided, SAP",Mixed,Bukit Timah,1.33805634613048,103.776106448614
Pei Tong Primary School,Government,Mixed,Clementi,1.31619786415976,103.767599818844
Peiying Primary School,Government,Mixed,Yishun,1.41741627551251,103.830143209875
Pioneer Primary School,Government,Mixed,Jurong West,1.33902264667589,103.687769623983
Poi Ching School,"Government-aided, SAP",Mixed,Tampines,1.35765122315688,103.935246477199
Princess Elizabeth Primary School,Government,Mixed,Bukit Batok,1.349203512653,103.74101964471
Punggol Cove Primary School,Government,Mixed,Punggol,1.41159923273069,103.898803921164
Punggol Green Primary School,Government,Mixed,Punggol,1.40187220643293,103.898801330302
Punggol Primary School,Government,Mixed,Hougang,1.40514582647962,103.905156371376
Punggol View Primary School,Government,Mixed,Punggol,1.40514582647962,103.905156371376
Qifa Primary School,Government,Mixed,Clementi,1.31325113867272,103.756743261958
Qihua Primary School,Government,Mixed,Woodlands,1.44203596557592,103.788339762066
Queenstown Primary School,Government,Mixed,Queenstown,1.29559365009015,103.807548617332
Radin Mas Primary School,Government,Mixed,Bukit Merah,1.27495823622634,103.824188270373
Raffles Girls' Primary School,Government,Girls,Bukit Timah,1.3294042600012,103.806442915912
Red Swastika School,"Government-aided, SAP",Mixed,Bedok,1.33405659580859,103.934317528484
Riverside Primary School,Government,Mixed,Woodlands,1.44704734253719,103.801831963297
River Valley Primary School,Government,Mixed,Central,1.2942232846169,103.835815165829
Rivervale Primary School,Government,Mixed,Sengkang,1.39340997767762,103.904559511997
Rosyth School,Government-aided,Mixed,Serangoon,1.37289067499064,103.875001549174
Rulang Primary School,Government,Mixed,Jurong West,1.34673868889096,103.718457955487
Sengkang Green Primary School,Government,Mixed,Sengkang,1.39284606680477,103.875217666486
Sembawang Primary School,Government,Mixed,Sembawang,1.4450737155262,103.821042374036
Si Ling Primary School,Government,Mixed,Woodlands,1.43240935732525,103.786035065192
Seng Kang Primary School,Government,Mixed,Sengkang,1.38949740422462,103.899767112047
Shuqun Primary School,Government,Mixed,Jurong West,1.34765311431632,103.721523713379
Singapore Chinese Girlsâ€™ School (Primary),Government-aided,Girls,Novena,1.32080725235992,103.827744749548
South View Primary School,Government,Mixed,Chua Chu Kang,1.38166664389749,103.746275846011
Springdale Primary School,Government,Mixed,Sengkang,1.39467010299293,103.889926221247
Stamford Primary School,Government,Mixed,Central,1.30345638467449,103.857453500579
St. Andrew's Junior School,Government-aided,Boys,Potong Pasir,1.33140255308868,103.865117134385
St. Anthony's Canossian Primary School,Government-aided,Girls,Bedok,1.3347253730189,103.941234868202
St. Anthony's Primary School,Government-aided,Mixed,Bukit Batok,1.3347253730189,103.941234868202
St. Gabriel's Primary School,Government-aided,Boys,Serangoon,1.34947192653862,103.862561037707
St. Hilda's Primary School,Government-aided,Mixed,Tampines,1.34934994368496,103.937920511812
St. Joseph's Institution Junior,Government-aided,Boys,Novena,1.31772860986913,103.845611935235
St. Margaret's Primary School,Government-aided,Girls,Rochor,1.32439150290682,103.881624837373
St. Stephen's School,Government-aided,Boys,Bedok,1.31878997295135,103.917258129598
Tampines North Primary School,Government,Mixed,Tampines,1.36047641484682,103.948725782833
Tampines Primary School,Government,Mixed,Tampines,1.3504863946694,103.943573098509
Tanjong Katong Primary School,Government,Mixed,Marine Parade,1.30524084264265,103.900092702031
Tao Nan School,"Government-aided, SAP",Mixed,Marine Parade,1.2943321052493,103.849026157822
Teck Ghee Primary School,Government,Mixed,Ang Mo Kio,1.36558782075966,103.850957126982
Teck Whye Primary School,Government,Mixed,Chua Chu Kang,1.38364996834457,103.753291857016
Telok Kurau Primary School,Government,Mixed,Bedok,1.33104585441349,103.910934011337
Temasek Primary School,Government,Mixed,Bedok,1.31770677551333,103.945590669163
Townsville Primary School,Government,Mixed,Ang Mo Kio,1.36003263746623,103.853826048327
Unity Primary School,Government,Mixed,Chua Chu Kang,1.40285481877246,103.746822625758
Valour Primary School,Government,Mixed,Punggol,1.40683570215319,103.899078139493
Waterway Primary School,Government,Mixed,Punggol,1.39882800626578,103.918621581556
Wellington Primary School,Government,Mixed,Sembawang,1.45192019155475,103.822303719094
West Grove Primary School,Government,Mixed,Jurong West,1.3448790560014,103.699286360581
West Spring Primary School,Government,Mixed,Bukit Panjang,1.38944145898943,103.766195711835
Westwood Primary School,Government,Mixed,Jurong West,1.34718456606375,103.70053420978
West View Primary School,Government,Mixed,Bukit Panjang,1.38378546546228,103.760273432258
White Sands Primary School,Government,Mixed,Pasir Ris,1.36563610941695,103.960861814678
Woodgrove Primary School,Government,Mixed,Woodlands,1.43273620725049,103.79023031392
Woodlands Primary School,Government,Mixed,Woodlands,1.43655108594232,103.791570546509
Woodlands Ring Primary School,Government,Mixed,Woodlands,1.43495229315857,103.797435733144
Xinghua Primary School,Government,Mixed,Hougang,1.35790893589535,103.890472887906
Xingnan Primary School,Government,Mixed,Jurong West,1.34254744877694,103.687950252103
Xinmin Primary School,Government,Mixed,Hougang,1.37139548941931,103.883080767491
Xishan Primary School,Government,Mixed,Yishun,1.43347186925064,103.837755319448
Yangzheng Primary School,Government,Mixed,Serangoon,1.34864575840923,103.868595527042
Yew Tee Primary School,Government,Mixed,Chua Chu Kang,1.39676600905037,103.750985967346
Yio Chu Kang Primary School,Government,Mixed,Hougang,1.37793264345276,103.885643682171
Yishun Primary School,Government,Mixed,Yishun,1.43338602975674,103.834087115915
Yu Neng Primary School,Government,Mixed,Bedok,1.33388930344069,103.932144857355
Yuhua Primary School,Government,Mixed,Jurong East,1.34280230475033,103.741105772644
Yumin Primary School,Government,Mixed,Tampines,1.35129177656981,103.950461927088
Zhangde Primary School,Government,Mixed,Bukit Merah,1.28421153335379,103.825951875662
Zhenghua Primary School,Government,Mixed,Bukit Panjang,1.37954887512229,103.769313521752
Zhonghua Primary School,Government,Mixed,Serangoon,1.36026072476019,103.869712517383
